"name";"nickname";"wins";"losses";"draws";"height_cm";"weight_in_kg";"reach_in_cm";"stance";"date_of_birth";"significant_strikes_landed_per_minute";"significant_striking_accuracy";"significant_strikes_absorbed_per_minute";"significant_strike_defence";"average_takedowns_landed_per_15_minutes";"takedown_accuracy";"takedown_defense";"average_submissions_attempted_per_15_minutes";"performance_metric"
"Hacran Dias";"Barnabe";23;6;1;172.72;70.31;175.26;"Orthodox";"1984-06-16";2.08;41.0;3.31;55.0;2.5;39.0;76.0;0.5;-12.3667
"Hamdy Abdelwahab";"The Hammer";5;0;0;187.96;119.75;182.88;"Southpaw";"1993-01-22";3.87;52.0;3.13;59.0;3.0;75.0;0.0;0.0;5.0
"Hannah Cifers";"Shockwave";10;7;0;154.94;52.16;157.48;"Orthodox";"1992-06-26";4.99;44.0;5.39;52.0;0.26;100.0;64.0;0.3;-29.1176
"Hannah Goldy";"24K";6;4;0;162.56;52.16;154.94;"Orthodox";"1992-05-18";5.19;47.0;4.67;50.0;0.66;12.0;54.0;0.2;-16.4
"HanSeul Kim";"Spade";13;5;0;185.42;77.11;187.96;"Southpaw";"1990-06-19";6.93;45.0;8.09;50.0;0.0;0.0;0.0;4.0;-15.6111
"Harold Howard";"";1;3;0;187.96;108.86;0.0;"Orthodox";"";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-14.75
"Harry Hunsucker";"The Hurricane";7;6;0;187.96;92.99;190.5;"Orthodox";"1989-01-03";3.54;52.0;6.53;42.0;0.0;0.0;0.0;2.0;-26.2308
"Hatsu Hioki";"";29;10;2;180.34;65.77;185.42;"Orthodox";"1983-07-18";2.42;42.0;2.12;65.0;2.55;56.0;54.0;0.6;-29.4878
"Hayato Sakurai";"Mach";38;13;2;170.18;76.2;0.0;"Orthodox";"1975-08-24";2.45;49.0;1.94;59.0;1.87;69.0;56.0;0.3;-37.7547
"Heath Herring";"The Texas Crazy Horse";28;16;0;193.04;113.4;198.12;"Orthodox";"1978-03-02";2.37;50.0;1.77;54.0;1.22;50.0;32.0;0.7;-62.1818
"Heather Clark";"Hurricane";7;6;0;167.64;52.16;162.56;"Orthodox";"1980-09-19";3.69;49.0;5.62;50.0;0.33;4.0;80.0;0.3;-26.2308
"Hector Aldana";"";4;3;0;180.34;77.11;182.88;"Orthodox";"1988-08-17";3.59;38.0;5.08;59.0;0.93;100.0;0.0;0.0;-12.7143
"Hector Lombard";"";34;10;1;175.26;83.91;180.34;"Southpaw";"1978-02-02";3.02;46.0;3.35;53.0;1.69;48.0;77.0;0.5;-24.3111
"Hector Ramirez";"Sick Dog";10;6;1;182.88;92.99;0.0;"Orthodox";"1976-03-28";2.27;41.0;4.6;56.0;2.3;55.0;66.0;0.5;-24.1176
"Hector Sandoval";"Kid Alex";14;4;0;157.48;56.7;162.56;"Orthodox";"1986-07-19";3.31;52.0;2.33;65.0;3.49;25.0;71.0;1.4;-9.11111
"Hector Urbina";"El Toro";17;10;1;180.34;77.11;185.42;"Orthodox";"1987-09-17";0.97;38.0;2.44;39.0;0.0;0.0;38.0;3.8;-39.6786
"Helena Crevar";"";0;0;0;0.0;0.0;0.0;"";"";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"Helio Dipp";"";6;3;0;195.58;83.91;0.0;"Orthodox";"";0.6;25.0;1.8;62.0;0.0;0.0;50.0;0.0;-11.0
"Henrique da Silva";"Frankenstein";14;5;0;190.5;92.99;193.04;"Orthodox";"1989-09-01";3.89;60.0;5.28;40.0;0.25;14.0;22.0;0.2;-14.6842
"Henry Briones";"Bure";16;8;1;172.72;61.23;175.26;"Orthodox";"1980-10-22";3.47;42.0;4.68;53.0;0.0;0.0;52.0;0.6;-29.76
"Henry Cejudo";"Triple C";16;3;0;162.56;61.23;162.56;"Orthodox";"1987-02-09";3.93;47.0;3.15;60.0;2.07;34.0;83.0;0.2;-1.52632
"Henry Martinez";"Sicario";9;4;0;170.18;70.31;175.26;"Southpaw";"1983-08-07";2.79;25.0;4.01;60.0;0.0;0.0;80.0;0.0;-13.7692
"Herbert Burns";"The Blaze";11;4;0;175.26;65.77;185.42;"Orthodox";"1988-02-02";1.61;51.0;4.74;30.0;3.92;75.0;60.0;3.3;-11.9333
"Hermes Franca";"";24;17;0;167.64;70.31;180.34;"Orthodox";"1974-08-26";1.78;39.0;2.85;55.0;1.53;36.0;37.0;2.4;-70.9512
"Hernani Perpetuo";"";18;5;0;182.88;77.11;0.0;"Orthodox";"1985-05-24";2.73;29.0;4.37;55.0;0.0;0.0;37.0;0.5;-10.913
"Hidehiko Hasegawa";"";19;20;6;175.26;77.11;0.0;"";"";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-91.9778
"Hidehiko Yoshida";"";6;8;1;180.34;102.06;0.0;"Orthodox";"1969-09-03";1.05;36.0;1.89;62.0;1.09;33.0;71.0;2.2;-37.6
"Hideo Tokoro";"";34;29;2;170.18;61.23;0.0;"Orthodox";"1977-08-22";1.78;37.0;2.01;65.0;0.87;34.0;44.0;2.3;-127.215
"Hiromitsu Kanehara";"";19;27;5;177.8;90.72;0.0;"Orthodox";"1970-10-05";0.76;22.0;4.39;40.0;0.0;0.0;40.0;0.4;-127.922
"Hiromitsu Miura";"";12;7;0;175.26;77.11;180.34;"Orthodox";"1981-09-22";2.12;34.0;2.12;58.0;2.23;50.0;69.0;0.6;-27.4211
"Hiroshi Izumi";"";4;2;0;0.0;92.99;0.0;"Orthodox";"1982-06-22";1.95;37.0;2.65;66.0;3.35;70.0;100.0;0.5;-7.33333
"Hirotaka Yokoi";"Kaibatsu-Kun";11;5;0;180.34;92.99;0.0;"Orthodox";"1978-06-08";1.52;33.0;3.42;38.0;1.87;41.0;66.0;0.4;-17.4375
"Hitomi Akano";"Girlfight Monster";18;10;0;162.56;61.23;0.0;"Southpaw";"1974-07-27";0.59;45.0;2.58;55.0;0.0;0.0;8.0;0.5;-38.4286
"Holly Holm";"The Preacher's Daughter";15;6;0;172.72;61.23;175.26;"Southpaw";"1981-10-17";3.21;40.0;2.79;56.0;0.9;30.0;78.0;0.1;-19.2857
"Houston Dorr";"";1;2;0;185.42;95.25;0.0;"Orthodox";"";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-9.66667
"Hu Yaozong";"Totoro";3;3;0;190.5;83.91;182.88;"Orthodox";"1995-04-07";3.35;48.0;5.09;35.0;0.0;0.0;33.0;0.4;-13.5
"Humberto Bandenay";"";14;7;0;180.34;65.77;180.34;"Southpaw";"1994-09-04";2.22;41.0;4.79;41.0;2.9;46.0;62.0;0.5;-25.6667
"Hunter Azure";"";9;2;0;172.72;65.77;175.26;"Orthodox";"1992-03-02";3.92;53.0;2.08;58.0;1.97;34.0;67.0;1.3;-2.63636
"Hyder Amil";"The Hurricane";8;0;0;175.26;65.77;177.8;"Switch";"1990-05-28";1.73;52.0;1.47;53.0;0.0;0.0;78.0;1.0;8.0
"Hyun Gyu Lim";"The Ace";13;7;1;190.5;77.11;195.58;"Orthodox";"1985-01-16";4.45;41.0;5.07;51.0;0.23;100.0;73.0;0.2;-26.9524
"HyunSung Park";"Peace of Mind";8;0;0;170.18;56.7;167.64;"Orthodox";"1995-11-04";3.51;48.0;2.62;59.0;2.23;30.0;100.0;3.7;8.0
"Ian Entwistle";"Enty";9;3;0;165.1;61.23;0.0;"Orthodox";"1986-11-19";0.11;7.0;7.36;31.0;0.0;0.0;0.0;12.1;-8.25
"Ian Freeman";"The Machine";20;7;1;180.34;102.06;0.0;"Orthodox";"1966-11-10";2.54;48.0;3.11;44.0;1.44;40.0;80.0;0.7;-20.7143
"Ian Heinisch";"The Hurricane";14;5;0;180.34;83.91;182.88;"Orthodox";"1988-08-05";3.25;50.0;2.98;59.0;1.02;17.0;59.0;0.7;-14.6842
"Ian Loveland";"The Barn Owl";18;10;0;172.72;65.77;0.0;"Orthodox";"1983-09-07";2.71;40.0;2.36;64.0;1.0;37.0;69.0;0.3;-38.4286
"Iasmin Lucindo";"";15;5;0;160.02;52.16;167.64;"Orthodox";"2002-01-08";3.33;39.0;3.23;67.0;2.33;66.0;66.0;0.4;-13.75
"Ignacio Bahamondes";"La Jaula";14;5;0;190.5;70.31;190.5;"Orthodox";"1997-08-27";6.97;46.0;4.36;57.0;0.0;0.0;85.0;0.4;-14.6842
"Igor Araujo";"";25;9;0;185.42;77.11;195.58;"Orthodox";"1980-12-06";1.52;42.0;2.86;49.0;0.86;15.0;22.0;0.6;-26.6176
"Igor Gracie";"";5;4;0;180.34;77.11;0.0;"";"";1.86;60.0;0.99;50.0;3.72;50.0;0.0;3.7;-17.2222
"Igor Pokrajac";"The Duke";28;13;0;182.88;92.99;187.96;"Orthodox";"1979-01-02";2.25;45.0;4.26;40.0;0.87;29.0;51.0;0.2;-45.878
"Igor Vovchanchyn";"Ice Cold";55;10;0;172.72;92.99;0.0;"Orthodox";"1973-08-06";1.59;49.0;0.97;63.0;1.19;66.0;50.0;0.5;-3.46154
"Igor Zinoviev";"Houdini";4;1;2;185.42;90.26;0.0;"Orthodox";"";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-2.71429
"Ikram Aliskerov";"";15;1;0;182.88;83.91;193.04;"Southpaw";"1992-12-07";8.24;65.0;7.15;36.0;2.33;33.0;0.0;2.3;9.0625
"Ikuhisa Minowa";"Minowaman";60;42;8;175.26;82.1;0.0;"Orthodox";"1976-01-12";0.88;40.0;1.66;49.0;1.82;41.0;5.0;1.9;-177.273
"Ildemar Alcantara";"Marajo";21;11;0;187.96;83.91;198.12;"Orthodox";"1982-11-18";1.93;38.0;2.63;50.0;2.0;68.0;81.0;0.9;-41.2188
"Ilia Topuria";"El Matador";14;0;0;170.18;65.77;175.26;"Orthodox";"1997-01-21";4.44;46.0;3.05;67.0;2.19;56.0;92.0;1.5;14.0
"Ilima Macfarlane";"";6;0;0;162.56;56.7;0.0;"";"";4.13;43.0;2.93;65.0;0.0;0.0;50.0;1.0;6.0
"Ilir Latifi";"The Sledgehammer";17;9;0;177.8;104.33;185.42;"Orthodox";"1982-07-28";2.05;45.0;2.93;56.0;2.11;35.0;100.0;0.3;-33.8846
"Ilya Kotau";"";1;2;0;0.0;77.11;0.0;"";"";3.94;40.0;4.38;44.0;6.57;100.0;100.0;6.6;-9.66667
"Impa Kasanganay";"Tshilobo";9;2;0;180.34;77.11;190.5;"Orthodox";"1994-01-17";4.96;48.0;3.66;58.0;1.75;58.0;66.0;0.2;-2.63636
"Iony Razafiarison";"";2;1;0;160.02;65.77;0.0;"";"";1.2;42.0;1.4;53.0;2.0;50.0;75.0;0.0;-3.66667
"Irene Aldana";"";14;7;0;175.26;61.23;172.72;"Orthodox";"1988-03-26";4.86;39.0;5.71;59.0;0.17;50.0;75.0;0.3;-25.6667
"Irina Alekseeva";"Russian Ronda";5;2;0;172.72;61.23;170.18;"Orthodox";"1990-06-27";3.84;43.0;3.55;48.0;0.87;20.0;100.0;0.9;-6.42857
"Irwin Rivera";"The Beast";10;6;0;167.64;61.23;170.18;"Southpaw";"1989-02-14";3.36;44.0;5.07;57.0;1.0;16.0;70.0;0.0;-23.75
"Isabela de Padua";"Belinha";5;2;0;160.02;56.7;162.56;"Orthodox";"1991-09-04";1.0;35.0;2.07;50.0;2.0;66.0;0.0;1.0;-6.42857
"Isaiah Hill";"";5;7;1;177.8;70.31;0.0;"";"";4.84;50.0;0.97;80.0;0.0;0.0;66.0;14.5;-33.0769
"Islam Makhachev";"";25;1;0;177.8;70.31;177.8;"Southpaw";"1991-10-27";2.46;60.0;1.27;61.0;3.17;60.0;90.0;1.0;19.0385
"Ismail Naurdiev";"The Austrian Wonderboy";19;4;0;177.8;77.11;187.96;"Orthodox";"1996-08-18";3.17;52.0;1.3;68.0;1.25;71.0;70.0;0.2;-4.30435
"Israel Adesanya";"The Last Stylebender";24;3;0;193.04;83.91;203.2;"Switch";"1989-07-22";3.93;48.0;3.11;56.0;0.05;14.0;77.0;0.1;6.33333
"Israel Albuquerque";"";0;3;0;0.0;83.91;0.0;"Orthodox";"";0.32;13.0;3.34;25.0;0.0;0.0;0.0;0.0;-15.0
"Iuri Alcantara";"Marajo";35;10;0;175.26;61.23;180.34;"Southpaw";"1980-08-04";2.72;45.0;2.79;49.0;1.44;62.0;60.0;0.8;-22.7778
"Ivan Jorge";"Batman";27;7;0;175.26;70.31;185.42;"Orthodox";"1980-11-07";3.41;49.0;2.91;59.0;1.56;16.0;75.0;0.6;-13.5588
"Ivan Menjivar";"The Pride of El Salvador";25;12;0;167.64;65.77;162.56;"Orthodox";"1982-05-30";2.78;37.0;2.76;65.0;0.56;28.0;38.0;1.0;-43.1081
"Ivan Salaverry";"";14;9;0;182.88;83.91;0.0;"Orthodox";"1971-01-11";3.01;47.0;1.19;76.0;0.49;18.0;36.0;2.5;-36.4783
"Ivana Petrovic";"";6;1;0;172.72;56.7;177.8;"Southpaw";"1994-06-11";1.47;35.0;2.73;52.0;2.0;33.0;66.0;2.0;0.142857
"J.T Taylor";"The Outlaw";7;7;0;177.8;0.0;0.0;"";"";3.17;80.0;3.7;26.0;3.96;100.0;0.0;7.9;-31.5
"Jacare Souza";"";26;10;0;185.42;83.91;182.88;"Orthodox";"1979-12-07";2.53;47.0;2.83;62.0;2.57;39.0;57.0;1.3;-31.2222
"Jack Cartwright";"";10;1;0;175.26;61.23;172.72;"Orthodox";"1994-05-26";0.8;38.0;3.33;29.0;6.0;66.0;0.0;2.0;4.09091
"Jack Della Maddalena";"";16;2;0;180.34;77.11;185.42;"Switch";"1996-09-10";7.2;53.0;4.83;67.0;0.27;20.0;82.0;0.3;4.22222
"Jack Hermansson";"The Joker";23;8;0;185.42;83.91;195.58;"Orthodox";"1988-06-10";5.13;44.0;3.69;55.0;1.66;29.0;75.0;0.4;-22.9355
"Jack Shore";"Tank";17;1;0;172.72;61.23;180.34;"Orthodox";"1995-02-06";3.84;58.0;2.2;57.0;3.42;40.0;79.0;0.7;11.0556
"Jacob Kilburn";"The Killer";8;4;0;175.26;65.77;182.88;"Orthodox";"1995-06-28";2.56;33.0;6.78;35.0;0.51;5.0;20.0;0.5;-14.6667
"Jacob Malkoun";"Mamba";7;3;0;175.26;83.91;185.42;"Orthodox";"1995-08-26";3.89;56.0;2.49;50.0;7.2;44.0;0.0;0.5;-10.1
"Jacob Rosales";"The Lil Badger";13;7;0;180.34;70.31;187.96;"Orthodox";"1995-07-28";7.19;46.0;10.66;44.0;1.12;18.0;50.0;0.6;-26.55
"Jacob Volkmann";"Christmas";19;7;0;175.26;70.31;180.34;"Southpaw";"1980-09-05";1.19;34.0;1.78;52.0;3.19;48.0;52.0;2.0;-21.1154
"Jafel Filho";"Pastor";15;3;0;170.18;56.7;172.72;"Orthodox";"1993-05-05";2.0;37.0;2.31;45.0;1.53;27.0;55.0;2.0;-2.5
"Jailton Almeida";"Malhadinho";20;2;0;190.5;92.99;200.66;"Orthodox";"1991-06-26";2.78;64.0;0.52;43.0;5.14;55.0;75.0;2.4;8.18182
"Jake Collier";"The Prototype";13;10;0;190.5;104.33;198.12;"Orthodox";"1988-10-25";5.8;44.0;5.08;50.0;0.71;33.0;67.0;0.6;-42.6522
"Jake Ellenberger";"The Juggernaut";31;15;0;175.26;77.11;180.34;"Orthodox";"1985-03-28";2.47;39.0;2.83;60.0;2.04;47.0;86.0;0.4;-54.1087
"Jake Hadley";"White Kong";10;2;0;170.18;56.7;177.8;"Southpaw";"1996-08-03";3.42;44.0;3.2;60.0;0.32;25.0;35.0;2.2;-1.66667
"Jake Matthews";"The Celtic Kid";19;7;0;180.34;77.11;185.42;"Orthodox";"1994-08-19";3.3;45.0;2.56;60.0;1.59;40.0;62.0;0.6;-21.1154
"Jake O'Brien";"Irish";15;4;0;190.5;92.99;193.04;"Orthodox";"1984-09-25";1.31;31.0;1.92;69.0;6.39;54.0;25.0;0.2;-8.1579
"Jake Rosholt";"";12;5;0;185.42;83.91;0.0;"Orthodox";"1982-02-09";2.68;53.0;2.33;49.0;6.51;68.0;0.0;1.8;-16.5294
"Jake Shields";"";31;9;1;182.88;77.11;182.88;"Orthodox";"1979-01-09";2.45;36.0;1.8;56.0;2.83;29.0;35.0;1.2;-21.561
"Jalin Turner";"The Tarantula";14;7;0;190.5;70.31;195.58;"Southpaw";"1995-05-18";6.02;48.0;4.63;41.0;0.88;55.0;75.0;1.2;-25.6667
"Jamall Emmers";"Pretty Boy";20;7;0;177.8;65.77;187.96;"Orthodox";"1989-07-24";5.1;48.0;3.79;57.0;1.96;40.0;90.0;0.2;-20.1852
"Jameel Massouh";"";26;9;0;177.8;65.77;182.88;"Orthodox";"1984-09-12";1.91;54.0;2.62;55.0;0.67;15.0;50.0;0.7;-25.6857
"James Hammortree";"The Sledge";6;3;0;190.5;83.91;0.0;"Orthodox";"1983-11-29";1.93;30.0;4.13;44.0;2.0;50.0;100.0;1.0;-11.0
"James Head";"";9;4;0;185.42;77.11;185.42;"Orthodox";"1984-02-09";2.75;48.0;3.11;49.0;0.41;100.0;66.0;0.8;-13.7692
"James Irvin";"The Sandman";17;10;0;187.96;92.99;190.5;"Orthodox";"1978-09-12";2.03;48.0;3.86;35.0;0.0;0.0;36.0;0.5;-39.2963
"James Krause";"The";28;9;0;187.96;77.11;185.42;"Orthodox";"1986-06-04";4.79;49.0;4.11;61.0;0.96;18.0;59.0;0.9;-23.8108
"James Lee";"";15;3;0;180.34;92.99;0.0;"Southpaw";"1973-09-22";1.4;42.0;3.72;27.0;13.95;50.0;0.0;7.0;-2.5
"James Llontop";"Goku";14;2;0;182.88;70.31;185.42;"Orthodox";"1999-08-02";4.93;54.0;1.93;74.0;0.0;0.0;71.0;0.0;2.25
"James McSweeney";"The Hammer";15;15;0;193.04;104.33;195.58;"Switch";"1980-10-24";3.94;55.0;4.33;42.0;0.52;33.0;100.0;1.1;-67.5
"James Moontasri";"Moon Walker";9;5;0;177.8;77.11;180.34;"Switch";"1988-04-10";2.39;48.0;3.86;40.0;0.0;0.0;79.0;0.2;-19.2143
"James Reese";"JP";11;10;0;175.26;70.31;0.0;"";"";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-44.2381
"James Te Huna";"";16;9;0;187.96;83.91;190.5;"Orthodox";"1981-09-29";4.04;51.0;2.99;62.0;2.75;37.0;58.0;0.2;-34.76
"James Thompson";"The Colossus";20;16;0;195.58;120.2;0.0;"Orthodox";"1978-12-16";5.13;52.0;3.19;41.0;3.14;36.0;53.0;1.3;-68.8889
"James Vick";"The Texecutioner";13;5;0;190.5;70.31;193.04;"Orthodox";"1987-02-23";4.13;39.0;3.31;60.0;0.26;33.0;57.0;0.7;-15.6111
"James Wallace";"Jesse";5;2;0;177.8;70.31;175.26;"Orthodox";"1992-11-17";0.52;28.0;3.41;35.0;0.0;0.0;0.0;0.0;-6.42857
"James Wilks";"Lightning";7;4;0;185.42;77.11;190.5;"Orthodox";"1978-05-04";1.82;45.0;2.03;50.0;1.27;22.0;66.0;3.8;-15.5455
"James Zikic";"The Messenger";21;10;2;187.96;92.99;0.0;"Orthodox";"1977-03-01";1.47;35.0;1.6;44.0;0.5;25.0;74.0;0.5;-36.6364
